symbol,EBITDA,totalDebt,totalAssets,shareholderEquity,netIncome,cashFlow,totalRevenue,peRatio,marketCap,sector,2 cluster class,2 clusters noMC class,4 clusters class,5 clusters class
VST,587000000,10875000000,29932000000,6036000000,7000000,564000000,2991000000,-5.22,10487496010,utilities,0,0,0,0
WEC,703900000,14683700000,38400900000,10938900000,290000000,780500000,1746500000,23.24,30493056112,utilities,0,0,0,0
SR,168800000,7333800000,18712800000,5316400000,-27000000,58200000,580400000,6.5,3336320227,utilities,0,0,0,0
AGR,396000000,7920000000,38879000000,19102000000,111000000,143000000,1598000000,22.12,17900466624,utilities,0,0,0,0
ES,805413000,19427092000,48014055000,14411611000,283166000,712828000,2432794000,25.19,29797649726,utilities,0,0,0,0
WTRG,175959000,5729463000,14236485000,5127862000,50503000,148984000,361860000,30.61,5652213359,utilities,0,0,0,0
OGS,92957000,4019137000,8133918000,2315098000,20253000,16771000,273923000,29.58,12187261770,utilities,0,0,0,0
CWEN,241000000,7844000000,11780000000,1777000000,21000000,288000000,351000000,28.89,2484456583,utilities,0,0,0,0
NWN,14047000,1315804000,3929225000,891461000,-20655000,-12557000,101447000,20.46,4177146249,utilities,0,0,0,0
EVRG,827700000,10784200000,28182100000,9317800000,449400000,811400000,1616500000,115.34,3789465568,utilities,0,0,0,0
DUK,3176000000,64900000000,1.67E+11,49307000000,1377000000,3354000000,6951000000,16.43,1481185745,utilities,0,0,0,0
AWK,578000000,11081000000,25333000000,6869000000,278000000,509000000,1092000000,16.73,14734991502,utilities,0,0,0,0
POR,184000000,3426000000,9542000000,2675000000,50000000,306000000,642000000,26.03,78710929651,utilities,0,0,0,0
NEW,-18478550.41,233334056.1,514577512.8,-132935264.1,-213404832,0,104404677.1,38.92,29536191600,utilities,0,0,0,0
ORA,85217000,1933107000,4359366000,1833385000,14902000,45947000,158842000,20.61,4717251182,utilities,0,0,0,0
ALE,93000000,2026800000,6332200000,2340000000,27600000,103500000,345400000,-0.12,24462248,utilities,0,0,0,0
LNT,467000000,7391000000,18329000000,5985000000,256000000,270000000,1024000000,65.51,4219153085,utilities,0,0,0,0
AVA,81966000,2445358000,6731478000,2101636000,14366000,38853000,296007000,21.6,3360957751,utilities,0,0,0,0
UTL,36800000,541900000,1509000000,439600000,14800000,11500000,98100000,23.61,14947901739,utilities,0,0,0,0
UGI,1824000000,13632000000,33446000000,11044000000,1050000000,868000000,2876000000,19.76,3118756469,utilities,0,0,0,0
SWX,114680000,4143054000,10369635000,2909816000,-11576000,50164000,888696000,13.53,713035568,utilities,0,0,0,0
SO,2788000000,52836000000,1.28E+11,28689000000,1101000000,2177000000,6238000000,3.31,9563523678,utilities,0,0,0,0
EIX,549000000,27160000000,73023000000,14841000000,-341000000,958000000,5299000000,16.21,3935295924,utilities,0,0,0,0
SJI,24767000,3404445000,7024011000,1828587000,-26130000,32276000,365631000,24.16,71939490836,utilities,0,0,0,0
SJW,57611000,1568392000,3469741000,1000711000,19068000,33159000,166923000,31.53,24065690161,utilities,0,0,0,0
PNM,223603000,3514133000,8256070000,2156479000,113321000,233949000,554551000,35.41,2790936997,utilities,0,0,0,0
PEG,239000000,19780000000,49426000000,14069000000,-1564000000,129000000,1903000000,35.75,2026096008,utilities,0,0,0,0
PCG,1199000000,42947000000,1.04E+11,20475000000,-1091000000,823000000,5465000000,19.73,3861710981,utilities,0,0,0,0
PPL,705000000,11139000000,34171000000,14576000000,207000000,457000000,1512000000,-50.07,33160800152,utilities,0,0,0,0
EXC,3414000000,41701000000,1.33E+11,33851000000,1203000000,3003000000,8910000000,-66.84,30887434399,utilities,0,0,0,0
OTTR,97343000,862438000,2713148000,952482000,52754000,86178000,316294000,-17.27,22864989061,utilities,0,0,0,0
OGE,434600000,4879000000,12177500000,3814900000,252500000,-1261900000,864400000,33.32,55716904967,utilities,0,0,0,0
NI,334900000,9623900000,22778600000,6494900000,49400000,236300000,959400000,18.07,2590018002,utilities,0,0,0,0
NJR,66140000,5224608000,11444556000,3261724000,-2266000,98316000,1065056000,15.86,7494528076,utilities,0,0,0,0
NFG,431888000,5574374000,14929650000,3572412000,173924000,239486000,711974000,25.31,10932898263,utilities,0,0,0,0
XEL,1375000000,23347000000,57517000000,15171000000,609000000,1090000000,3467000000,15.86,3712271298,utilities,0,0,0,0
MSEX,16928000,323289000,1029592000,364424000,11446000,4059000,39874000,7.61,5504232867,utilities,0,0,0,0
MGEE,56589000,637998000,2370734000,1028285000,34917000,56918000,145873000,23.27,36726900363,utilities,0,0,0,0
MDU,264398000,2378266000,8568863000,3332278000,139276000,182999000,1586013000,46.42,1730104843,utilities,0,0,0,0
DUK,3176000000,64900000000,1.67E+11,49307000000,1377000000,3354000000,6951000000,25.42,2758180230,utilities,0,0,0,0
CNP,631000000,17485000000,37160000000,8866000000,195000000,-1627000000,1749000000,14.79,5985882600,utilities,0,0,0,0
YORW,8907000,132197000,430748000,150660000,4794000,6374000,14503000,26.03,78710929651,utilities,0,0,0,0
HE,165399000,2466346000,15760163000,2417836000,63415000,149618000,756904000,18.39,17111436622,utilities,0,0,0,0
NEE,1705000000,55341000000,1.39E+11,36649000000,447000000,2741000000,4370000000,34.77,583155101,utilities,0,0,0,0
ETR,1249476000,25842735000,58843499000,11252524000,531003000,1264436000,3353532000,19.17,4631508511,utilities,0,0,0,0
ATO,431344000,14661314000,39217324000,15813778000,97350000,148432000,1136768000,69.59,1.64E+11,utilities,0,0,0,0
IDA,172366000,2000584000,7254054000,2670609000,97897000,136212000,446944000,17.74,22105932967,utilities,0,0,0,0
DTE,751000000,17609000000,39435000000,8567000000,25000000,456000000,3715000000,10.25,13936703990,utilities,0,0,0,0
AAPL,53550000000,2.49E+11,7.02E+11,1.26E+11,41102000000,40400000000,1.67E+11,14.66,2.69E+12,technology,1,1,2,1
