,AAPL,ABC,ABEV,ACI,ACN,ADBE,ADI,ADM,ADP,ADSK,AGR,ALE,AMAT,AMD,AMZN,APH,ATO,ATVI,AVA,AVGO,AWK,BG,BTI,BYND,CAG,CASY,CCEP,CDNS,CHD,CL,CLX,CNP,CPB,CRM,CRWD,CSCO,CTSH,CTVA,CVS,CWEN,DAR,DDOG,DEO,DTE,DUK,EA,EBAY,EIX,EL,ES,ETR,EVRG,EXC,FB,FIS,FISV,FLO,FMX,FRPT,FTNT,GIS,GO,GOOGL,GPN,HAIN,HE,HLF,HPQ,HRL,HSY,IBM,IDA,IFF,INGR,INTC,INTU,K,KDP,KEYS,KHC,KLAC,KMB,KO,KR,LNT,LRCX,LW,MA,MCHP,MCK,MDLZ,MDU,MGEE,MKC,MNST,MO,MRVL,MSEX,MSFT,MSI,MU,NEE,NEP,NEW,NFG,NFLX,NI,NJR,NOVA,NOW,NVDA,NWN,NXPI,OGE,OGS,OLPX,ORA,ORCL,OTTR,PANW,PAYX,PCG,PEG,PEP,PG,PM,PNM,POR,POST,PPC,PPL,PYPL,QCOM,REYN,SAM,SEB,SHOP,SJI,SJM,SJW,SNAP,SNOW,SNPS,SO,SPB,SPY,SQ,SR,STZ,SWX,SYY,TAP,TEL,TSN,TWLO,TXN,UGI,UL,USFD,UTL,V,VST,WBA,WDAY,WEC,WTRG,XEL,XLNX,YORW,ZM
,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30 00:00:00-04:00,141.32,119.47,2.755,31.12,319.85,575.64,167.47,60.01,199.89,285.07,48.61,59.53,128.7396,102.89,3286.61,73.21,88.19,77.38,39.14,485.16,168.96,81.31,35.275,105.25,33.87,188.29,55.26,151.5,82.54,75.58,165.58,24.59,41.8,271.15,245.64,54.42,74.21,42.06,84.83,30.26,71.9,141.35,193.01,111.66,97.57,142.31,69.66,55.45,299.85,81.75,99.24,62.2,48.33,339.24,121.68,108.52,23.63,86.71,142.65,292.05,59.82,21.55,2671.12,157.56,42.76,40.82,42.38,27.36,40.98,169.26,138.88,103.38,133.67,88.97,53.26,539.67,63.92,34.17,164.29,36.82,334.58,132.45,52.46,40.42,55.95,568.87,61.37,347.55,153.5,199.38,58.14,29.66,73.5,81.01,88.86,45.52,60.31,102.87,281.75,232.31,70.96,78.52,75.33,0.58,52.51,610.04,24.22,34.82,32.94,622.03,207.14,46.0,195.87,32.95,63.32,24.47,66.56,87.13,56.03,479.0,112.45,9.615,60.88,150.44,139.78,94.79,49.47,46.99,110.15,29.08,27.88,260.21,128.99,27.36,510.04,4085.01,1354.92,21.26,120.04,66.05,73.87,302.35,299.4,61.96,95.66,429.17,239.83,61.18,210.61,66.87,78.49,46.38,137.21,78.93,319.05,192.21,42.63,54.22,34.67,42.82,222.63,17.1,47.05,249.93,88.18,46.09,62.49,150.84,43.81,261.51
2021-10-01 00:00:00-04:00,142.66,119.83,2.78,29.76,324.9,577.34,167.37,60.83,201.99,284.03,48.74,59.59,129.1,102.42,3283.17,74.63,88.78,78.54,38.98,487.52,168.34,82.53,34.84,104.91,33.71,187.39,55.86,153.08,82.25,75.59,164.52,24.91,41.53,275.4,249.27,55.11,75.29,43.52,84.08,30.23,73.71,144.57,192.76,111.68,98.49,143.59,69.87,55.06,310.78,81.86,99.38,61.82,47.77,343.0,123.26,109.78,23.81,86.06,145.08,298.0,60.63,21.41,2729.93,159.85,43.12,41.13,43.3,28.1,40.9,170.84,143.33,104.24,141.15,90.55,53.86,543.97,63.88,33.2,165.5,36.7,335.02,132.2,53.02,39.14,55.77,569.62,62.79,360.34,152.63,199.9,58.21,30.3,73.81,80.71,89.88,45.88,59.82,101.9,289.1,234.35,70.97,79.22,77.08,0.543,54.1,613.15,24.3,35.6,33.1,632.8,207.42,46.34,192.85,33.0,65.0,22.9,67.33,89.76,56.18,486.51,115.11,9.62,60.47,150.95,139.62,96.09,49.63,47.32,111.19,29.29,27.97,264.55,128.66,27.81,508.94,4070.0,1350.35,21.24,119.71,65.99,75.28,303.97,302.38,61.7522,98.005,434.19,239.25,62.08,213.56,67.69,80.85,47.13,141.8,78.33,324.49,193.78,43.41,54.19,36.24,43.34,230.51,16.85,46.8,254.55,87.6,46.25,62.48,152.03,43.85,267.54
2021-10-04 00:00:00-04:00,139.19,118.37,2.74,30.09,319.56,558.58,164.26,61.16,200.1,272.93,49.55,60.14,125.21,100.35,3191.7,73.55,90.55,77.2,39.91,476.2,170.93,82.55,35.35,101.12,34.02,188.13,54.93,148.1,81.73,75.07,163.71,25.5,42.11,270.89,238.82,54.22,74.36,42.56,83.8,30.4,71.23,137.12,192.94,113.02,100.76,143.18,68.5,56.29,306.18,84.96,101.4,62.64,48.34,326.32,121.02,108.29,24.14,85.85,145.09,288.88,61.45,21.25,2675.27,156.27,43.79,41.93,42.72,28.09,41.24,171.57,144.14,105.0,138.0,91.48,53.51,525.55,64.54,32.72,161.17,36.9,329.06,132.14,53.0,39.64,56.82,550.14,62.96,344.16,146.63,199.99,58.05,30.51,75.72,80.72,88.54,46.5,57.59,104.41,283.14,231.54,70.63,79.37,77.56,0.5093,55.72,603.63,24.6,36.58,31.11,618.15,197.36,47.27,188.94,33.64,67.43,23.8,68.79,89.26,57.34,469.595,115.03,9.83,61.15,150.1,138.8,96.2,49.59,48.46,110.93,29.34,28.3,255.02,126.68,27.43,504.02,4055.01,1314.9666,22.23,120.96,67.97,71.22,294.67,289.22,62.44,97.85,428.69,226.29,63.19,213.08,66.08,81.41,47.61,140.33,78.09,313.35,190.41,44.25,53.82,36.05,44.25,224.68,17.02,46.67,249.65,89.39,46.92,63.9,148.0,44.52,259.7
2021-10-05 00:00:00-04:00,141.1,118.67,2.72,29.5,325.12,566.66,165.41,62.27,203.84,276.1,49.48,59.74,128.07,101.8099,3220.99,74.58,90.01,76.8,40.56,485.42,171.6,84.11,35.095,100.67,34.27,189.03,55.52,150.21,81.19,74.42,162.66,25.48,42.56,271.745,245.15,54.69,74.44,43.45,83.64,31.21,72.19,141.87,192.75,113.79,100.15,144.05,69.97,55.68,313.18,84.69,101.46,62.88,48.34,332.975,120.34,108.02,24.35,86.1,144.62,298.5,61.53,21.55,2720.45,157.63,43.6,41.66,43.08,28.3,41.28,174.47,143.16,105.14,135.42,93.09,53.95,533.36,64.02,33.43,162.75,37.07,331.23,131.95,53.09,39.87,56.41,555.85,62.45,343.35,148.01,198.24,58.83,30.55,75.59,80.05,89.56,46.16,59.39,104.87,288.75,232.19,70.49,79.48,76.8,0.5063,55.72,634.81,24.385,36.61,31.74,633.42,204.5,47.09,191.67,33.4,67.26,26.15,69.21,91.48,57.51,475.74,116.83,9.89,60.85,151.09,139.35,96.4,49.48,48.42,110.69,29.25,28.26,260.17,127.56,27.28,507.01,4074.26,1317.49,22.28,121.35,67.64,73.41,300.38,293.35,62.06,97.4,433.05,235.98,63.35,213.01,70.42,80.73,48.24,143.61,78.3,320.25,193.87,44.11,53.43,36.28,44.7,224.28,17.36,47.09,252.08,88.88,46.83,63.31,151.96,44.455,257.12
2021-10-06 00:00:00-04:00,141.99,116.87,2.71,28.38,325.08,570.31,166.07,62.29,204.98,277.42,50.57,59.91,126.56,103.63,3263.2,74.55,90.16,77.3,41.34,488.69,174.16,83.92,34.91,101.32,34.47,188.79,54.96,150.04,82.74,75.1,165.17,25.78,42.5,275.27,248.22,53.95,74.36,42.0,83.15,31.71,71.37,143.31,192.81,115.28,101.84,134.1,71.54,56.59,313.55,86.25,103.17,63.44,49.11,333.69,121.11,108.47,24.725,84.31,144.42,301.86,62.12,21.6,2749.5,158.53,43.75,41.44,42.62,27.75,41.81,178.55,142.35,105.68,137.52,94.07,53.99,534.5,64.4,34.1,161.17,37.34,328.88,133.05,53.72,39.55,57.08,551.845,62.32,348.66,147.76,198.21,60.2,30.79,75.97,80.28,90.07,46.46,63.76,106.5,293.11,233.77,69.95,81.17,76.9,0.55,55.93,639.13,24.65,36.99,32.19,629.36,207.0,47.31,190.99,33.68,67.34,25.04,69.79,91.33,58.56,486.21,118.05,10.19,60.95,154.95,141.17,96.65,49.74,49.1,107.98,29.03,28.54,264.03,128.08,27.33,525.5,4136.0,1350.18,22.39,123.29,68.5,73.12,309.51,294.46,62.74,95.69,434.92,239.12,63.49,211.5,68.0,81.1,47.32,144.4,78.61,316.88,194.35,43.96,53.05,36.08,44.7,226.45,17.58,46.9,256.33,90.58,46.96,64.32,153.86,45.15,253.65
2021-10-07 00:00:00-04:00,143.28,118.58,2.685,27.97,326.24,578.81,166.98,63.05,207.57,283.02,50.69,59.58,127.91,106.45,3302.43,75.6,89.76,77.36,40.7,493.93,172.48,84.47,34.65,104.37,34.2,189.65,55.68,152.25,82.98,75.59,165.04,25.57,42.21,274.6,249.75,55.02,75.26,42.49,84.2,32.17,73.13,142.09,193.01,115.09,100.97,137.59,74.16,57.1,314.88,86.09,103.47,62.72,48.71,329.22,121.31,109.25,24.69,82.78,143.22,309.59,61.32,22.15,2785.37,159.87,43.16,41.01,43.31,28.06,41.34,178.0,141.8,103.39,138.23,94.44,54.18,537.71,63.12,35.01,163.24,37.09,330.11,133.69,53.88,39.49,56.66,556.06,58.2,354.02,149.25,199.64,59.9,30.95,75.23,80.42,90.07,46.49,65.17,105.66,294.94,236.84,70.55,80.92,77.22,0.560101,56.49,631.85,24.57,37.15,34.39,638.0,210.75,47.0,193.84,33.59,67.48,25.14,70.62,92.3,58.99,493.67,118.64,10.52,60.47,156.4,142.32,95.65,49.85,48.78,107.59,29.15,28.39,263.54,127.83,27.56,545.71,4206.32,1399.85,22.64,121.85,68.54,76.29,319.91,298.37,62.67,96.16,438.64,249.1899,63.89,216.51,66.1,82.91,47.19,146.44,78.68,324.21,195.34,44.42,52.94,37.27,44.0,230.57,17.95,47.84,257.98,89.75,46.96,63.99,158.07,45.56,256.27
2021-10-08 00:00:00-04:00,143.01,119.39,2.74,27.02,325.24,576.93,168.63,63.29,206.15,278.83,50.81,59.86,126.21,105.05,3290.57,75.76,89.94,77.64,40.39,492.59,170.79,84.35,34.89,100.59,33.73,190.43,54.05,150.12,83.14,75.59,163.46,25.54,42.21,272.5,245.09,55.09,75.49,42.78,84.38,32.32,72.69,140.29,193.74,114.15,100.53,140.0,75.05,57.13,311.9,85.42,103.19,62.01,48.36,330.0,120.04,107.88,24.78,82.95,133.81,307.11,61.46,21.76,2796.99,159.35,43.96,40.58,43.03,27.9,41.69,177.74,143.25,101.71,138.0,94.95,53.81,531.33,62.7,35.04,161.8,36.78,326.15,132.88,54.13,39.46,55.96,549.64,56.38,354.96,146.1,200.23,59.53,30.83,74.38,79.31,89.28,46.73,64.62,104.34,294.85,236.79,70.13,80.22,76.06,0.565,56.78,632.66,24.43,36.98,33.88,617.58,208.26,46.82,190.26,33.05,67.72,25.52,70.19,94.39,58.29,492.97,118.67,10.7,59.9,156.01,141.73,95.35,49.59,48.75,105.3,28.8,28.36,260.07,126.52,27.44,537.8,4202.0,1378.34,22.55,121.63,67.81,75.0,313.2,291.7,62.55,95.33,437.82,238.57,63.72,219.71,64.37,83.37,46.72,145.66,78.57,320.61,195.24,44.2,52.64,38.17,43.29,230.33,17.9,47.37,255.9,88.79,46.35,63.19,156.04,45.82,255.24
2021-10-11 00:00:00-04:00,142.8,122.4,2.7,27.02,326.5,572.89,167.86,63.97,203.73,276.54,52.0,59.27,127.5,104.67,3245.15,75.06,89.13,76.32,38.68,492.19,168.85,84.94,34.77,101.59,33.56,185.18,53.38,149.51,83.01,75.795,162.2,25.54,41.87,273.7,244.17,54.92,75.38,42.45,84.29,33.46,72.39,141.89,192.86,112.18,99.7,139.48,74.48,56.08,309.94,84.33,102.68,61.96,47.57,325.39,115.87,103.77,24.94,82.53,130.33,306.78,61.68,21.7,2777.7,151.45,43.74,39.25,43.22,27.675,41.915,178.21,142.43,98.96,140.01,95.6,53.45,525.26,62.75,35.12,161.68,36.77,325.2,132.55,54.22,39.58,54.65,552.44,55.14,347.25,143.88,201.69,59.43,30.22,74.28,78.42,88.02,46.71,63.4,103.7,294.21,235.48,69.23,77.83,76.51,0.5833,56.48,626.82,24.33,37.14,35.97,615.85,206.89,46.57,185.93,32.75,68.28,25.09,68.43,95.28,56.89,499.81,117.34,10.15,59.27,156.24,142.31,95.12,49.55,47.72,104.76,28.79,28.18,255.02,124.92,27.84,536.36,4114.51,1356.45,22.39,121.51,68.13,73.56,309.68,288.68,61.92,95.23,434.67,232.45,63.47,219.81,64.18,82.86,45.83,145.63,78.34,320.59,193.36,44.03,52.5,37.33,42.92,225.05,17.57,47.42,253.55,87.34,46.25,62.44,155.27,46.65,253.86
