,ABC,ABEV,ACI,ADM,BG,BTI,BYND,CAG,CASY,CCEP,CHD,CL,CLX,CPB,CTVA,CVS,DAR,DEO,EL,FLO,FMX,FRPT,GIS,GO,HAIN,HLF,HRL,HSY,IFF,INGR,K,KDP,KHC,KMB,KO,KR,LW,MCK,MDLZ,MKC,MNST,MO,OLPX,PEP,PG,PM,POST,PPC,REYN,SAM,SEB,SJM,SPB,STZ,SYY,TAP,TSN,UL,USFD,WBA
,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30 00:00:00-04:00,119.47,2.755,31.12,60.01,81.31,35.275,105.25,33.87,188.29,55.26,82.54,75.58,165.58,41.8,42.06,84.83,71.9,193.01,299.85,23.63,86.71,142.65,59.82,21.55,42.76,42.38,40.98,169.26,133.67,88.97,63.92,34.17,36.82,132.45,52.46,40.42,61.37,199.38,58.14,81.01,88.86,45.52,24.47,150.44,139.78,94.79,110.15,29.08,27.36,510.04,4085.01,120.04,95.66,210.61,78.49,46.38,78.93,54.22,34.67,47.05
2021-10-01 00:00:00-04:00,119.83,2.78,29.76,60.83,82.53,34.84,104.91,33.71,187.39,55.86,82.25,75.59,164.52,41.53,43.52,84.08,73.71,192.76,310.78,23.81,86.06,145.08,60.63,21.41,43.12,43.3,40.9,170.84,141.15,90.55,63.88,33.2,36.7,132.2,53.02,39.14,62.79,199.9,58.21,80.71,89.88,45.88,22.9,150.95,139.62,96.09,111.19,29.29,27.81,508.94,4070.0,119.71,98.005,213.56,80.85,47.13,78.33,54.19,36.24,46.8
2021-10-04 00:00:00-04:00,118.37,2.74,30.09,61.16,82.55,35.35,101.12,34.02,188.13,54.93,81.73,75.07,163.71,42.11,42.56,83.8,71.23,192.94,306.18,24.14,85.85,145.09,61.45,21.25,43.79,42.72,41.24,171.57,138.0,91.48,64.54,32.72,36.9,132.14,53.0,39.64,62.96,199.99,58.05,80.72,88.54,46.5,23.8,150.1,138.8,96.2,110.93,29.34,27.43,504.02,4055.01,120.96,97.85,213.08,81.41,47.61,78.09,53.82,36.05,46.67
2021-10-05 00:00:00-04:00,118.67,2.72,29.5,62.27,84.11,35.095,100.67,34.27,189.03,55.52,81.19,74.42,162.66,42.56,43.45,83.64,72.19,192.75,313.18,24.35,86.1,144.62,61.53,21.55,43.6,43.08,41.28,174.47,135.42,93.09,64.02,33.43,37.07,131.95,53.09,39.87,62.45,198.24,58.83,80.05,89.56,46.16,26.15,151.09,139.35,96.4,110.69,29.25,27.28,507.01,4074.26,121.35,97.4,213.01,80.73,48.24,78.3,53.43,36.28,47.09
2021-10-06 00:00:00-04:00,116.87,2.71,28.38,62.29,83.92,34.91,101.32,34.47,188.79,54.96,82.74,75.1,165.17,42.5,42.0,83.15,71.37,192.81,313.55,24.725,84.31,144.42,62.12,21.6,43.75,42.62,41.81,178.55,137.52,94.07,64.4,34.1,37.34,133.05,53.72,39.55,62.32,198.21,60.2,80.28,90.07,46.46,25.04,154.95,141.17,96.65,107.98,29.03,27.33,525.5,4136.0,123.29,95.69,211.5,81.1,47.32,78.61,53.05,36.08,46.9
2021-10-07 00:00:00-04:00,118.58,2.685,27.97,63.05,84.47,34.65,104.37,34.2,189.65,55.68,82.98,75.59,165.04,42.21,42.49,84.2,73.13,193.01,314.88,24.69,82.78,143.22,61.32,22.15,43.16,43.31,41.34,178.0,138.23,94.44,63.12,35.01,37.09,133.69,53.88,39.49,58.2,199.64,59.9,80.42,90.07,46.49,25.14,156.4,142.32,95.65,107.59,29.15,27.56,545.71,4206.32,121.85,96.16,216.51,82.91,47.19,78.68,52.94,37.27,47.84
2021-10-08 00:00:00-04:00,119.39,2.74,27.02,63.29,84.35,34.89,100.59,33.73,190.43,54.05,83.14,75.59,163.46,42.21,42.78,84.38,72.69,193.74,311.9,24.78,82.95,133.81,61.46,21.76,43.96,43.03,41.69,177.74,138.0,94.95,62.7,35.04,36.78,132.88,54.13,39.46,56.38,200.23,59.53,79.31,89.28,46.73,25.52,156.01,141.73,95.35,105.3,28.8,27.44,537.8,4202.0,121.63,95.33,219.71,83.37,46.72,78.57,52.64,38.17,47.37
2021-10-11 00:00:00-04:00,122.4,2.7,27.02,63.97,84.94,34.77,101.59,33.56,185.18,53.38,83.01,75.795,162.2,41.87,42.45,84.29,72.39,192.86,309.94,24.94,82.53,130.33,61.68,21.7,43.74,43.22,41.915,178.21,140.01,95.6,62.75,35.12,36.77,132.55,54.22,39.58,55.14,201.69,59.43,78.42,88.02,46.71,25.09,156.24,142.31,95.12,104.76,28.79,27.84,536.36,4114.51,121.51,95.23,219.81,82.86,45.83,78.34,52.5,37.33,47.42
