date,close,volume,open,high,low
1/2/2015,205.43,121465865,206.38,206.88,204.18
1/5/2015,201.72,169632646,204.17,204.37,201.35
1/6/2015,199.82,209151408,202.09,202.72,198.855
1/7/2015,202.31,125346709,201.42,202.72,200.88
1/8/2015,205.9,147217784,204.01,206.16,203.99
1/9/2015,204.25,158567288,206.4,206.42,203.51
1/12/2015,202.65,144396067,204.41,204.6,201.92
1/13/2015,202.08,214553306,204.12,205.48,200.51
1/14/2015,200.86,192991092,199.65,201.1,198.57
1/15/2015,199.019875,176613906,201.63,202.01,198.88
1/16/2015,201.63,211879605,198.77,201.82,198.55
1/20/2015,202.055,130991069,202.4,202.72,200.17
1/21/2015,203.08,122942707,201.5,203.66,200.94
1/22/2015,206.1,174356029,203.99,206.26,202.33
1/23/2015,204.97,117516753,205.79,206.1,204.81
1/26/2015,205.45,92009711,204.71,205.56,203.85
1/27/2015,202.74,134044598,202.97,204.12,201.74
1/28/2015,200.14,168514312,204.17,204.29,199.91
1/29/2015,201.9901875,173585424,200.38,202.3,198.68
1/30/2015,199.45,197729724,200.57,202.17,199.13
2/2/2015,201.92,163106969,200.05,202.03,197.86
2/3/2015,204.84,124212881,203,204.85,202.55
2/4/2015,204.06,134306728,203.92,205.38,203.51
2/5/2015,206.12,97953181,204.86,206.3,204.77
2/6/2015,205.55,125672026,206.56,207.24,204.92
2/9/2015,204.63,87219016,204.77,205.64,204.135
2/10/2015,206.81,96164183,205.88,207.12,204.680125
2/11/2015,206.93,91087785,206.61,207.45,205.83
2/12/2015,208.92,97545949,207.89,208.99,206.9726875
2/13/2015,209.78,93670430,209.07,209.84,208.76
2/17/2015,210.11,76968199,209.4,210.32,209.1
2/18/2015,210.13,80652941,209.66,210.22,209.340125
2/19/2015,209.98,91462491,209.41,210.42,209.24
2/20/2015,211.239,140896392,209.48,211.33,208.73
2/23/2015,211.209,74411054,210.94,211.21,210.48
2/24/2015,211.81,72472263,211.12,212.05,210.76
2/25/2015,211.63,73061687,211.66,212.24,211.22
2/26/2015,211.38,72697868,211.52,211.71,210.65
2/27/2015,210.66,108075972,211.26,211.58,210.6
3/2/2015,211.99,87491428,210.78,212.06,210.72
3/3/2015,211.12,110325809,211.47,212.054,210.08
3/4/2015,210.230125,114497192,210.4,210.49,209.06
3/5/2015,210.46,76872957,210.62,210.8,209.85
3/6/2015,207.5,188127982,209.42,209.94,207.1
3/9/2015,208.36,89818893,207.74,208.79,207.545875
3/10/2015,204.98,157121263,206.71,206.81,204.93
3/11/2015,204.5,110145718,205.29,205.5,204.4
3/12/2015,207.1,93993523,205.26,207.175,205.2
3/13/2015,205.8271875,162410893,206.77,207.9338125,204.58
3/16/2015,208.58,136099192,206.71,208.69,205.864125
3/17/2015,207.96,94510422,207.69,208.42,206.98
3/18/2015,210.46,228808524,207.39,211.27,206.62
3/19/2015,209.5,117917302,209.96,210.4696875,209.03
3/20/2015,210.41,177715081,209.71,211.02,209.4903125
3/23/2015,210,71784536,210.42,211.11,210
3/24/2015,208.82,77805321,209.85,210.4,208.74
3/25/2015,205.76,159521708,209.07,209.35,205.71
3/26/2015,205.27,153067241,204.96,206.37,204.12
3/27/2015,205.74,118938966,205.13,205.95,204.9
3/30/2015,208.25,96180365,206.98,208.61,206.96
3/31/2015,206.43,126768703,207.26,208.1,206.36
4/1/2015,205.7,137303584,206.39,206.42,204.51
4/2/2015,206.435,86900906,205.62,206.98,205.4
4/6/2015,207.83,114368155,205.37,208.45,205.21
4/7/2015,207.28,81236337,207.855,208.76,207.24
4/8/2015,207.975,89351939,207.55,208.51,207.08
4/9/2015,208.9,85548854,207.78,209.18,207.19
4/10/2015,210.04,72722915,209.2,210.09,208.96
4/13/2015,209.09,74436594,209.87,210.63,209.03
4/14/2015,209.49,75099866,208.85,209.71,208.1
4/15/2015,210.43,99529320,210.05,211.04,209.95
4/16/2015,210.37,68934864,210.03,210.98,209.7928125
4/17/2015,207.95,191113230,208.94,209.23,207.01
4/20/2015,209.85,92189481,209.06,210.25,208.96
4/21/2015,209.6,72559831,210.67,210.86,209.24
4/22/2015,210.63,78264616,210.01,210.85,208.9
4/23/2015,211.16,102585942,210.15,211.94,210.01
4/24/2015,211.649875,61327387,211.66,211.97,211.11
4/27/2015,210.77,79358126,212.33,212.48,210.54
4/28/2015,211.44,86863531,210.74,211.5,209.3300625
4/29/2015,210.57,125684903,210.37,211.29,209.6
4/30/2015,208.46,161304890,209.88,210.35,207.62
5/1/2015,210.72,103399711,209.4,210.77,209.28
5/4/2015,211.32,70927235,211.23,212.02,211.1
5/5/2015,208.9,113326156,211.03,211.46,208.73
5/6/2015,208.04,135060151,209.56,209.93,206.76
5/7/2015,208.87,88244940,207.92,209.38,207.52
5/8/2015,211.62,155877260,210.88,211.86,210.78
5/11/2015,210.605,75708065,211.57,211.89,210.52
5/12/2015,209.98,119727592,209.61,210.63,208.62
5/13/2015,210.02,94667943,210.47,211.22,209.74
5/14/2015,212.21,95934006,211.24,212.32,210.91
5/15/2015,212.44,76510099,212.44,212.61,211.86
5/18/2015,213.1,74549685,212.24,213.4,212.16
5/19/2015,213.03,72114610,213.24,213.57,212.69
5/20/2015,212.88,76857530,213.15,213.78,212.504
5/21/2015,213.5,64764585,212.71,213.75,212.51
5/22/2015,212.99,57433495,213.04,213.54,212.91
5/26/2015,210.7,124308584,212.4,212.908875,210.2
5/27/2015,212.7,93213981,211.25,212.98,210.7611875
5/28/2015,212.46,74974560,212.33,212.59,211.63
5/29/2015,211.14,124919611,212.38,212.43,210.82
6/1/2015,211.57,93338750,211.94,212.34,210.62
6/2/2015,211.36,91531012,211.02,212.19,210.27
6/3/2015,211.92,87820909,212,212.67,211.3300625
6/4/2015,210.1291875,151882820,211.07,211.859,209.75
6/5/2015,209.77,121704676,209.95,210.58,208.98
6/8/2015,208.48,89063330,209.64,209.82,208.39
6/9/2015,208.45,105034690,208.45,209.1,207.69
6/10/2015,210.95,134551285,209.37,211.41,209.2986875
6/11/2015,211.63,73876447,211.48,212.09,211.2
6/12/2015,210.01,135382369,210.64,211.482,209.68
6/15/2015,209.11,124384184,208.64,209.45,207.79
6/16/2015,210.25,85308227,208.93,210.35,208.72
6/17/2015,210.59,126708635,210.59,211.32,209.36
6/18/2015,212.78,165867949,211.31,213.34,210.6315
6/19/2015,210.81,130478689,211.46,211.55,210.36
6/22/2015,211.89,70696027,211.905,212.59,211.64
6/23/2015,212.04,68476797,212.14,212.44,211.57
6/24/2015,210.5,92307318,211.72,212.17,210.47
6/25/2015,209.86,97107361,211.1,211.25,209.77
6/26/2015,209.82,104174840,210.29,210.58,209.16
6/29/2015,205.42,202621332,208.045,209.828,205.33
6/30/2015,205.85,182925106,207.26,207.32,205.28
7/1/2015,207.5,135979873,207.73,208.03,206.56
7/2/2015,207.31,104373652,208.07,208.27,206.81
7/6/2015,206.72,117975369,205.77,207.65,205.53
7/7/2015,208.02,173820249,206.96,208.17,204.11
7/8/2015,204.53,164020059,206.42,206.7645,204.25
7/9/2015,204.9,144113107,207.04,207.35,204.77
7/10/2015,207.48,129456890,207.29,207.98,204.9516875
7/13/2015,209.77,106069400,208.99,209.9,208.94
7/14/2015,210.68,81709575,209.72,211.05,209.65
7/15/2015,210.61,97914141,210.73,211.28,210.04
7/16/2015,212.3,106683266,211.87,212.3,211.58
7/17/2015,212.48,89029973,212.29,212.55,211.8
7/20/2015,212.59,70446821,212.75,213.18,212.21
7/21/2015,211.75,77965048,212.43,212.74,211.39
7/22/2015,211.37,88667920,210.93,211.77,210.89
7/23/2015,210.18,90509128,211.53,211.65,209.75
7/24/2015,208,117754979,210.3,210.37,207.6
7/27/2015,206.79,132361082,206.94,207.55,206.26
7/28/2015,209.33,123544845,207.79,209.5,206.8
7/29/2015,210.77,105791255,209.48,211.04,209.31
7/30/2015,210.82,91304374,210.16,211.02,209.42
7/31/2015,210.5,103266857,211.42,211.45,210.16
8/3/2015,209.79,113965728,210.46,210.53,208.65
8/4/2015,209.38,81820823,209.7,210.2483125,208.8
8/5/2015,210.07,85786817,210.45,211.31,209.73
8/6/2015,208.35,116030803,210.29,210.415,207.65
8/7/2015,207.95,117857956,208.16,208.34,206.87
8/10/2015,210.57,80270676,209.28,210.67,209.28
8/11/2015,208.67,126081377,208.97,209.47,207.76
8/12/2015,208.92,172123672,207.11,209.14,205.36
8/13/2015,208.66,89383253,208.73,209.55,208.01
8/14/2015,209.42,72786528,208.43,209.5086875,208.26
8/17/2015,210.59,79072643,208.71,210.59,208.16
8/18/2015,209.98,71692678,210.26,210.68,209.699
8/19/2015,208.32,172945975,209.09,210.01,207.35
8/20/2015,203.97,194327884,206.51,208.2865,203.9
8/21/2015,197.83,346588469,201.73,203.940375,197.52
8/24/2015,189.5,507244333,187.49,197.4771875,182.4
8/25/2015,187.27,369833071,195.43,195.45,186.92
8/26/2015,194.46,339256986,192.08,194.79,188.37
8/27/2015,199.27,274143906,197.02,199.42,195.21
8/28/2015,199.28,160414352,198.5,199.835,197.92
8/31/2015,197.67,163298816,198.11,199.125,197.01
9/1/2015,191.77,256000392,193.12,194.77,190.73
9/2/2015,195.41,160269331,194.62,195.46,192.42
9/3/2015,195.55,152087836,196.26,198.05,194.96
9/4/2015,192.59,207080961,192.85,193.86,191.61
9/8/2015,197.43,116025739,195.94,197.61,195.17
9/9/2015,194.79,149347735,199.32,199.47,194.35
9/10/2015,195.85,158611063,194.56,197.22,194.25
9/11/2015,196.74,119691212,195.375,196.82,194.53
9/14/2015,196.01,79451983,196.95,197.01,195.43
9/15/2015,198.46,113806176,196.61,198.99,195.9611875
9/16/2015,200.18,99581557,198.82,200.41,198.41
9/17/2015,199.73,276046618,200.02,202.89,199.28
9/18/2015,195.45,223657456,195.71,198.684375,194.96
9/21/2015,196.46,105726209,196.44,197.68,195.21
9/22/2015,193.91,153890876,193.88,194.46,192.56
9/23/2015,193.6,92790620,194.11,194.67,192.91
9/24/2015,192.9,159378840,192.15,193.45,190.56
9/25/2015,192.85,155054777,194.64,195,191.81
9/28/2015,188.01,178515871,191.78,191.91,187.64
9/29/2015,188.12,159045572,188.27,189.74,186.93
9/30/2015,191.63,163452044,190.37,191.825,189.44
10/1/2015,192.13,131078964,192.08,192.49,189.82
10/2/2015,195,211003342,189.77,195.03,189.12
10/5/2015,198.47,126320842,196.46,198.74,196.33
10/6/2015,197.79,110274530,198.31,198.98,197
10/7/2015,199.41,124307295,198.9,199.825,197.48
10/8/2015,201.21,153055231,198.95,201.55,198.59
10/9/2015,201.33,107069240,201.38,201.9,200.58
10/12/2015,201.52,56395585,201.42,201.76,200.91
10/13/2015,200.25,88038718,200.65,202.16,200.05
10/14/2015,199.29,99106161,200.18,200.87,198.94
10/15/2015,202.35,134142195,200.08,202.36,199.64
10/16/2015,203.27,114580052,202.83,203.29,201.92
10/19/2015,203.37,76523897,202.5,203.37,202.13
10/20/2015,203.09,78448484,202.85,203.84,202.547125
10/21/2015,201.85,102038033,203.61,203.79,201.65
10/22/2015,205.26,174911723,202.98,205.51,201.85
