,SPY
,close
time,
2018-02-08 00:00:00-05:00,257.72
2018-02-09 00:00:00-05:00,261.67
2018-02-12 00:00:00-05:00,265.26
2018-02-13 00:00:00-05:00,266.01
2018-02-14 00:00:00-05:00,269.71
2018-02-15 00:00:00-05:00,273.0
2018-02-16 00:00:00-05:00,273.09
2018-02-20 00:00:00-05:00,271.43
2018-02-21 00:00:00-05:00,270.0
2018-02-22 00:00:00-05:00,270.32
2018-02-23 00:00:00-05:00,274.69
2018-02-26 00:00:00-05:00,277.89
2018-02-27 00:00:00-05:00,274.38
2018-02-28 00:00:00-05:00,271.33
2018-03-01 00:00:00-05:00,267.73
2018-03-02 00:00:00-05:00,269.13
2018-03-05 00:00:00-05:00,272.21
2018-03-06 00:00:00-05:00,272.89
2018-03-07 00:00:00-05:00,272.8
2018-03-08 00:00:00-05:00,274.08
2018-03-09 00:00:00-05:00,278.82
2018-03-12 00:00:00-04:00,278.5
2018-03-13 00:00:00-04:00,276.69
2018-03-14 00:00:00-04:00,275.27
2018-03-15 00:00:00-04:00,275.01
2018-03-16 00:00:00-04:00,274.19
2018-03-19 00:00:00-04:00,270.49
2018-03-20 00:00:00-04:00,270.94
2018-03-21 00:00:00-04:00,270.43
2018-03-22 00:00:00-04:00,263.67
2018-03-23 00:00:00-04:00,258.01
2018-03-26 00:00:00-04:00,265.17
2018-03-27 00:00:00-04:00,260.53
2018-03-28 00:00:00-04:00,259.84
2018-03-29 00:00:00-04:00,263.49
2018-04-02 00:00:00-04:00,257.53
2018-04-03 00:00:00-04:00,260.77
2018-04-04 00:00:00-04:00,263.83
2018-04-05 00:00:00-04:00,265.65
2018-04-06 00:00:00-04:00,259.8
2018-04-09 00:00:00-04:00,260.86
2018-04-10 00:00:00-04:00,265.14
2018-04-11 00:00:00-04:00,263.75
2018-04-12 00:00:00-04:00,265.91
2018-04-13 00:00:00-04:00,265.16
2018-04-16 00:00:00-04:00,267.32
2018-04-17 00:00:00-04:00,270.15
2018-04-18 00:00:00-04:00,270.37
2018-04-19 00:00:00-04:00,268.86
2018-04-20 00:00:00-04:00,266.63
2018-04-23 00:00:00-04:00,266.58
2018-04-24 00:00:00-04:00,263.03
2018-04-25 00:00:00-04:00,263.57
2018-04-26 00:00:00-04:00,266.31
2018-04-27 00:00:00-04:00,266.58
2018-04-30 00:00:00-04:00,264.45
2018-05-01 00:00:00-04:00,264.99
2018-05-02 00:00:00-04:00,263.2
2018-05-03 00:00:00-04:00,262.575
2018-05-04 00:00:00-04:00,266.0
2018-05-07 00:00:00-04:00,266.9
2018-05-08 00:00:00-04:00,266.9
2018-05-09 00:00:00-04:00,269.44
2018-05-10 00:00:00-04:00,272.01
2018-05-11 00:00:00-04:00,272.64
2018-05-14 00:00:00-04:00,272.92
2018-05-15 00:00:00-04:00,271.03
2018-05-16 00:00:00-04:00,272.21
2018-05-17 00:00:00-04:00,272.01
2018-05-18 00:00:00-04:00,271.34
2018-05-21 00:00:00-04:00,273.36
2018-05-22 00:00:00-04:00,272.56
2018-05-23 00:00:00-04:00,273.38
2018-05-24 00:00:00-04:00,272.85
2018-05-25 00:00:00-04:00,272.18
2018-05-29 00:00:00-04:00,269.1
2018-05-30 00:00:00-04:00,272.58
2018-05-31 00:00:00-04:00,270.74
2018-06-01 00:00:00-04:00,273.65
2018-06-04 00:00:00-04:00,274.9
2018-06-05 00:00:00-04:00,275.2
2018-06-06 00:00:00-04:00,277.5
2018-06-07 00:00:00-04:00,277.33
2018-06-08 00:00:00-04:00,278.2
2018-06-11 00:00:00-04:00,278.565
2018-06-12 00:00:00-04:00,278.98
2018-06-13 00:00:00-04:00,277.92
2018-06-14 00:00:00-04:00,278.72
2018-06-15 00:00:00-04:00,277.2
2018-06-18 00:00:00-04:00,276.57
2018-06-19 00:00:00-04:00,275.51
2018-06-20 00:00:00-04:00,275.98
2018-06-21 00:00:00-04:00,274.23
2018-06-22 00:00:00-04:00,274.71
2018-06-25 00:00:00-04:00,271.01
2018-06-26 00:00:00-04:00,271.55
2018-06-27 00:00:00-04:00,269.27
2018-06-28 00:00:00-04:00,270.95
2018-06-29 00:00:00-04:00,271.19
2018-07-02 00:00:00-04:00,271.94
2018-07-03 00:00:00-04:00,270.83
2018-07-05 00:00:00-04:00,273.09
2018-07-06 00:00:00-04:00,275.37
2018-07-09 00:00:00-04:00,277.89
2018-07-10 00:00:00-04:00,278.82
2018-07-11 00:00:00-04:00,276.91
2018-07-12 00:00:00-04:00,279.3
2018-07-13 00:00:00-04:00,279.57
2018-07-16 00:00:00-04:00,279.35
2018-07-17 00:00:00-04:00,280.5
2018-07-18 00:00:00-04:00,281.05
2018-07-19 00:00:00-04:00,280.01
2018-07-20 00:00:00-04:00,279.74
2018-07-23 00:00:00-04:00,280.24
2018-07-24 00:00:00-04:00,281.57
2018-07-25 00:00:00-04:00,284.13
2018-07-26 00:00:00-04:00,283.29
2018-07-27 00:00:00-04:00,281.46
