,AAPL,ACN,ADBE,ADI,ADP,ADSK,AMAT,AMD,AMZN,APH,ATVI,AVGO,CDNS,CRM,CRWD,CSCO,CTSH,DDOG,EA,EBAY,FB,FIS,FISV,FTNT,GOOGL,GPN,HPQ,IBM,INTC,INTU,KEYS,KLAC,LRCX,MA,MCHP,MRVL,MSFT,MSI,MU,NFLX,NOW,NVDA,NXPI,ORCL,PANW,PAYX,PYPL,QCOM,SHOP,SNAP,SNOW,SNPS,SQ,TEL,TWLO,TXN,V,WDAY,XLNX,ZM
,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-16 00:00:00-04:00,112.13,239.65,475.6,115.52,137.7,230.76,56.44,76.69,3077.14,109.11,79.96,367.15,102.58,250.74,131.14,40.42,70.725,89.42,126.77,50.42,263.6,148.74,102.23,116.96,1512.09,175.81,19.41,124.22,50.36,313.47,97.97,180.84,306.76,341.74,103.57,38.065,204.94,157.04,50.22,483.51,456.27,500.5601,128.59,60.43,246.87,79.76,180.91,114.56,885.82,24.86,253.92,207.02,151.14,101.87,228.84,139.63,205.14,205.65,102.33,408.18
2020-09-17 00:00:00-04:00,110.32,236.84,474.12,115.61,137.94,227.03,56.33,76.54,3010.56,110.04,78.76,366.0107,101.15,244.49,128.61,40.39,70.12,87.35,125.28,48.64,254.87,148.81,103.86,115.4,1487.78,181.46,19.15,124.92,50.28,307.38,98.26,180.64,305.87,339.32,103.57,38.7,202.96,158.07,50.98,470.245,453.99,498.54,127.76,60.2,241.43,79.51,175.83,114.87,870.7859,24.32,227.27,201.87,145.674,101.11,221.94,140.47,205.32,203.38,101.44,413.12
2020-09-18 00:00:00-04:00,106.6,236.07,467.33,114.94,135.01,225.14,56.16,74.92,2952.64,108.85,80.12,359.31,99.77,242.72,131.455,39.81,68.85,85.59,125.92,48.6,252.29,146.64,103.5,117.27,1451.09,179.2,18.94,122.76,49.89,300.14,97.1,178.99,307.22,335.16,101.41,38.48,200.45,157.32,50.74,469.97,452.86,487.46,126.08,59.76,241.6,78.56,176.08,110.71,901.34,23.815,238.0,197.93,145.08,98.56,225.43,138.55,202.51,200.45,100.73,439.0
2020-09-21 00:00:00-04:00,110.13,233.91,475.63,113.97,131.02,227.74,57.33,77.93,2962.0,103.43,81.41,351.96,102.1,245.05,138.2,39.05,67.39,88.11,128.29,50.14,248.04,144.11,99.61,117.83,1430.88,175.64,18.34,120.25,49.73,307.76,97.83,181.1,314.98,327.77,98.5,38.385,202.64,152.57,49.15,487.51,461.68,500.66,121.35,60.83,242.65,76.75,183.21,111.99,927.2,23.875,233.01,202.11,151.03,96.36,238.22,136.98,197.5,203.55,99.42,468.49
2020-09-22 00:00:00-04:00,111.8,236.87,486.79,114.7,132.87,229.43,57.87,77.71,3129.0,104.63,82.63,361.8,102.83,247.78,142.68,39.32,68.24,93.43,130.99,50.91,254.73,146.19,101.13,118.64,1459.83,179.81,18.43,120.52,49.94,317.13,97.43,183.24,318.55,335.61,99.21,38.86,207.38,157.26,49.7,491.16,470.55,505.68,122.64,60.62,246.52,77.61,187.71,113.82,954.25,25.47,235.16,204.99,155.52,96.33,237.0,138.645,200.57,211.75,100.02,492.57
2020-09-23 00:00:00-04:00,107.23,230.65,470.28,112.53,128.59,221.87,57.27,74.75,2997.44,103.31,80.15,351.68,99.72,236.13,138.59,38.2882,67.09,91.1,128.42,50.73,249.02,143.61,99.43,115.26,1410.0,174.77,18.315,118.84,48.83,305.01,96.35,180.91,317.07,324.54,97.54,37.57,200.59,152.21,49.86,470.6,460.57,485.05,120.02,58.96,239.13,76.07,181.57,110.52,917.03,25.36,217.0,197.79,149.72,93.95,232.0,135.17,195.42,207.39,97.21,500.69
2020-09-24 00:00:00-04:00,108.2015,214.31,467.67,112.71,130.81,220.96,57.81,75.815,3018.58,104.14,79.69,352.51,102.13,237.5,133.96,37.84,66.9,88.36,129.32,51.78,249.52,144.21,98.26,115.51,1422.88,172.36,18.15,118.09,49.16,308.74,96.61,184.53,327.47,328.22,97.77,37.89,203.18,151.64,49.47,473.09,460.12,493.92,119.15,59.3,237.8,75.91,182.22,112.19,908.76,24.32,226.73,201.51,152.36,94.18,238.41,136.68,195.47,208.58,99.01,465.18
2020-09-25 00:00:00-04:00,112.28,214.77,479.55,113.48,134.56,227.86,58.22,78.05,3094.65,105.65,80.98,356.78,103.71,242.92,136.4,38.46,68.09,90.67,131.19,52.48,254.82,146.0,102.16,116.82,1439.05,175.0,18.29,118.99,49.93,318.54,98.1498,187.9,330.3,331.87,99.07,38.0414,207.77,154.01,49.14,482.65,479.97,515.0,119.72,59.8,242.13,77.7,187.25,114.51,960.93,24.69,229.03,208.55,157.79,95.36,244.88,138.36,197.26,215.71,100.38,496.5
