,AGR,ALE,ATO,AVA,AWK,CNP,CWEN,DTE,DUK,EIX,ES,ETR,EVRG,EXC,HE,IDA,LNT,MDU,MGEE,MSEX,NEE,NEP,NEW,NFG,NI,NJR,NOVA,NWN,OGE,OGS,ORA,OTTR,PCG,PEG,PNM,POR,PPL,SJI,SJW,SO,SR,SWX,UGI,UTL,VST,WEC,WTRG,XEL,YORW
,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03 00:00:00-05:00,53.56,84.05,118.66,51.1,136.52,26.33,21.52,133.75,97.66,77.66,92.41,132.14,71.8,48.21,48.87,112.55,59.52,29.865,80.69,66.56,266.81,57.44,8.32,42.48,29.79,42.39,13.73,75.08,45.925,95.46,80.56,54.48,17.26,59.33,54.53,61.42,36.24,31.45,73.76,70.7,85.46,76.72,41.81,61.32,22.56,100.88,53.5,69.43,48.41
2020-02-04 00:00:00-05:00,53.12,83.27,117.37,50.75,134.9325,26.525,21.32,133.37,96.6,75.49,90.6,130.56,71.0,48.09,48.38,110.37,58.66,29.89,80.14,66.56,264.54,57.07,8.265,43.25,29.47,41.76,14.0,75.04,45.75,95.09,83.19,53.76,16.81,59.06,54.17,60.74,36.06,31.94,72.62,69.54,84.93,77.0,41.19,61.74,22.04,99.67,53.01,69.29,47.85
2020-02-05 00:00:00-05:00,52.97,83.62,118.27,51.15,135.07,26.75,21.79,134.5,97.14,77.33,90.49,130.57,71.01,48.33,48.37,110.68,58.59,31.28,80.91,67.45,266.72,56.55,7.98,44.51,29.76,42.15,13.97,74.73,45.985,95.91,86.21,54.5,16.9,59.28,54.51,60.68,36.42,32.15,73.47,69.03,86.5,77.14,41.96,62.67,21.94,100.01,53.37,69.3,48.21
2020-02-06 00:00:00-05:00,52.92,82.8,117.64,51.28,135.05,26.86,21.62,134.22,96.94,76.27,90.87,131.43,71.32,48.27,48.2,110.52,58.54,31.51,80.19,67.96,268.34,57.75,7.79,43.21,29.85,42.32,14.25,74.19,46.03,95.28,85.49,54.41,16.84,58.33,54.68,60.52,36.08,32.08,72.89,68.84,86.17,77.0,42.76,62.5,21.72,99.89,53.23,69.3,48.1
2020-02-07 00:00:00-05:00,52.64,82.04,117.58,51.14,134.43,26.72,21.575,133.59,96.24,77.01,90.59,131.95,70.88,48.2,48.13,109.62,58.34,30.99,80.39,68.16,269.54,57.33,7.92,42.64,29.8,42.48,14.14,73.7,45.95,94.5,84.53,53.98,17.35,57.71,54.49,60.65,36.02,31.58,72.52,68.38,86.16,77.19,42.3,62.68,22.3,99.75,53.21,68.71,48.35
2020-02-10 00:00:00-05:00,52.89,82.14,118.31,51.41,135.32,26.85,21.38,133.44,96.21,78.21,91.37,132.89,70.79,48.35,48.34,110.31,58.44,30.95,80.64,68.65,271.77,58.26,8.14,42.28,29.86,42.65,14.2,73.88,46.12,94.25,84.47,54.22,18.02,57.44,54.46,61.04,36.12,31.44,72.79,68.44,86.34,77.11,41.61,63.33,22.28,100.13,53.73,69.05,48.6
2020-02-11 00:00:00-05:00,52.89,82.14,119.35,51.17,135.32,27.03,21.77,134.02,96.99,78.0,91.18,132.87,70.84,49.34,48.14,110.1,58.36,30.96,80.74,67.71,272.16,58.45,8.25,42.68,29.93,42.55,14.7,74.18,45.96,94.05,84.64,54.1,17.9,57.81,55.13,61.35,36.16,31.79,72.31,68.59,85.94,77.72,41.68,63.43,22.98,100.18,53.26,68.97,48.11
2020-02-12 00:00:00-05:00,52.7,81.81,117.94,51.18,135.72,27.11,22.0,133.74,97.99,77.49,91.26,131.55,70.74,49.26,48.55,109.84,58.66,31.44,80.69,68.14,270.31,58.62,7.86,42.87,29.83,42.47,16.29,74.35,45.83,93.89,85.3,54.13,16.89,58.21,55.1,60.97,36.28,31.71,72.4,68.63,85.87,78.55,41.93,64.0,22.93,100.75,53.16,69.02,48.69
2020-02-13 00:00:00-05:00,53.59,81.24,119.5,51.67,136.95,27.17,21.99,133.56,100.15,77.37,92.53,133.28,71.55,49.57,49.74,111.19,59.38,31.66,82.0444,69.41,275.52,59.04,7.95,43.15,30.19,43.11,16.0,75.58,45.77,95.05,86.16,54.34,16.76,58.36,55.77,62.33,36.29,32.01,73.25,69.55,86.71,79.95,41.62,64.46,23.07,101.22,53.18,69.8,48.625
2020-02-14 00:00:00-05:00,53.87,81.2,120.43,52.0,139.31,27.18,22.0,134.02,101.3,77.2,93.66,134.13,72.35,49.76,50.3938,111.91,59.74,31.92,82.13,69.1,278.52,60.06,7.75,43.23,30.22,43.42,16.21,76.31,46.12,96.18,85.79,54.82,16.21,58.47,55.79,61.81,35.36,32.39,73.55,69.0,87.58,79.49,41.7,64.82,23.29,101.88,53.72,70.26,48.52
2020-02-18 00:00:00-05:00,54.89,81.37,120.585,52.12,139.53,27.08,22.25,134.65,102.02,77.1,94.81,134.95,73.92,50.39,50.3,113.16,60.17,31.77,82.36,69.45,282.11,61.2,7.77,43.64,30.21,43.69,16.24,76.9,46.04,96.67,85.84,54.42,16.08,59.02,55.79,62.36,35.91,32.29,73.41,69.41,87.62,79.47,41.27,64.82,23.36,102.89,54.14,71.16,48.64
2020-02-19 00:00:00-05:00,54.97,80.17,119.61,52.21,138.68,26.42,23.12,134.07,101.38,76.63,94.3,133.05,73.96,49.6,49.65,111.88,59.46,31.82,81.79,68.02,274.68,61.25,8.0,43.39,30.01,43.2,18.04,76.38,45.2,95.7,86.37,56.06,17.52,58.89,55.05,62.14,35.1,32.37,71.82,68.65,87.01,79.04,41.21,64.39,22.69,102.41,53.62,70.8,48.75
2020-02-20 00:00:00-05:00,55.56,79.66,119.24,51.59,137.29,25.72,23.0,133.95,101.44,77.2,95.61,131.49,73.56,49.85,49.82,111.74,59.6,32.2,81.58,67.62,277.03,61.21,7.8075,43.21,30.06,43.34,19.3,76.33,44.92,95.05,86.3,56.09,17.85,59.17,54.82,62.48,35.41,32.93,71.52,69.8,87.18,79.07,40.99,64.2,22.91,102.4,53.47,70.67,48.62
